"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","Required field",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"gender","String","20","Required","Sex of the subject","M;F","M = Male; F = Female",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"nihtbx_picvocab_date","String","30","Recommended","NIH Toolbox Picture Vocabulary Test Age 3+ v2.0 DateFinished","","",""
"nihtbx_picvocab_language","String","30","Recommended","NIH Toolbox Picture Vocabulary Test Age 3+ v2.0 Language","","",""
"nihtbx_picvocab_uncorrected","String","30","Recommended","NIH Toolbox Picture Vocabulary Test Age 3+ v2.0 Uncorrected Standard Score","","",""
"nihtbx_picvocab_agecorrected","String","30","Recommended","NIH Toolbox Picture Vocabulary Test Age 3+ v2.0 Age-Corrected Standard Score","","",""
"nihtbx_picvocab_v","String","30","Recommended","NIH Toolbox Picture Vocabulary Test Age 3+ Version","","",""
"nihtbx_flanker_date","String","30","Recommended","NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.0 DateFinished","","",""
"nihtbx_flanker_language","String","30","Recommended","NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.0 Language","","",""
"nihtbx_flanker_uncorrected","String","30","Recommended","NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.0 Uncorrected Standard Score","","",""
"nihtbx_flanker_agecorrected","String","30","Recommended","NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.0 Age-Corrected Standard Score","","",""
"nihtbx_flanker_v","String","30","Recommended","NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 Version","","",""
"nihtbx_list_date","String","30","Recommended","NIH Toolbox List Sorting Working Memory Test Age 7+ v2.0 Date Finished","","",""
"nihtbx_list_language","String","30","Recommended","NIH Toolbox List Sorting Working Memory Test Age 7+ v2.0 Language","","",""
"nihtbx_list_uncorrected","String","30","Recommended","NIH Toolbox List Sorting Working Memory Test Age 7+ v2.0 Uncorrected Standard Score","","",""
"nihtbx_list_agecorrected","String","30","Recommended","NIH Toolbox List Sorting Working Memory Test Age 7+ v2.0 Age-Corrected Standard Score","","",""
"nihtbx_list_v","String","30","Recommended","NIH Toolbox List Sorting Working Memory Test Age 7+ Version","","",""
"nihtbx_cardsort_date","String","30","Recommended","NIH Toolbox Dimensional Change Card Sort Test Ages 8-11 v2.0 DateFinished","","",""
"nihtbx_cardsort_language","String","30","Recommended","NIH Toolbox Dimensional Change Card Sort Test Ages 8-11 v2.0 Language","","",""
"nihtbx_cardsort_uncorrected","String","30","Recommended","NIH Toolbox Dimensional Change Card Sort Test Ages 8-11 v2.0 Uncorrected Standard Score","","",""
"nihtbx_cardsort_agecorrected","String","30","Recommended","NIH Toolbox Dimensional Change Card Sort Test Ages 8-11 v2.0 Age-Corrected Standard Score","","",""
"nihtbx_cardsort_v","String","30","Recommended","NIH Toolbox Dimensional Change Card Sort Test Ages 8-11 Version","","",""
"nihtbx_pattern_date","String","30","Recommended","NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ v2.0 DateFinished","","",""
"nihtbx_pattern_language","String","30","Recommended","NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ v2.0 Language","","",""
"nihtbx_pattern_uncorrected","String","30","Recommended","NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ v2.0 Uncorrected Standard Score","","",""
"nihtbx_pattern_agecorrected","String","30","Recommended","NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ v2.0 Age-Corrected Standard Score","","",""
"nihtbx_pattern_v","String","30","Recommended","NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ Version","","",""
"nihtbx_picture_date","String","30","Recommended","NIH Toolbox Picture Sequence Memory Test Age 8+ Form A v2.0 DateFinished","","",""
"nihtbx_picture_language","String","30","Recommended","NIH Toolbox Picture Sequence Memory Test Age 8+ Form A v2.0 Language","","",""
"nihtbx_picture_uncorrected","String","30","Recommended","NIH Toolbox Picture Sequence Memory Test Age 8+ Form A v2.0 Uncorrected Standard Score","","",""
"nihtbx_picture_agecorrected","String","30","Recommended","NIH Toolbox Picture Sequence Memory Test Age 8+ Form A v2.0 Age-Corrected Standard Score","","",""
"nihtbx_picture_v","String","30","Recommended","NIH Toolbox Picture Sequence Memory Test Age 8+ Form A Version","","",""
"nihtbx_reading_date","String","30","Recommended","NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0 DateFinished","","",""
"nihtbx_reading_language","String","30","Recommended","NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0 Language","","",""
"nihtbx_reading_uncorrected","String","30","Recommended","NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0 Uncorrected Standard Score","","",""
"nihtbx_reading_agecorrected","String","30","Recommended","NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0 Age-Corrected Standard Score","","",""
"nihtbx_reading_v","String","30","Recommended","NIH Toolbox Oral Reading Recognition Test Age 3+ Version","","",""
"nihtbx_fluidcomp_language","String","30","Recommended","Cognition Fluid Composite Language","","",""
"nihtbx_fluidcomp_uncorrected","String","30","Recommended","Cognition Fluid Composite Uncorrected Standard Score","","",""
"nihtbx_fluidcomp_agecorrected","String","30","Recommended","Cognition Fluid Composite Age-Corrected Standard Score","","",""
"nihtbx_fluidcomp_v","String","30","Recommended","Cognition Fluid Composite Version","","",""
"nihtbx_cryst_language","String","30","Recommended","Crystallized Composite Language","","",""
"nihtbx_cryst_uncorrected","String","30","Recommended","Crystallized Composite Uncorrected Standard Score","","",""
"nihtbx_cryst_agecorrected","String","30","Recommended","Crystallized Composite Age-Corrected Standard Score","","",""
"nihtbx_cryst_v","String","30","Recommended","Crystallized Composite Version","","",""
"nihtbx_totalcomp_language","String","30","Recommended","Cognition Total Composite Score Language","","",""
"nihtbx_totalcomp_uncorrected","String","30","Recommended","Cognition Total Composite Score Uncorrected Standard Score","","",""
"nihtbx_totalcomp_agecorrected","String","30","Recommended","Cognition Total Composite Score Age-Corrected Standard Score","","",""
"nihtbx_totalcomp_v","String","30","Recommended","Cognition Total Composite Score Version","","",""
